例注,
H,微积分H
J,微积分甲
23J.14/1,表示23级的微甲试卷第14题第一问

评注,
,22H难度最大，20J，21J，22J都是12题
,20J 4/2太离谱了，这不是数学分析的结论吗

题号,知识点

极限,
23J.1,求极限$1^\infty$
22J.1,求极限$1^\infty$ 泰勒展开
21J.2,求极限$\infty - \infty$
20J.2,求极限等价无穷小
23J.9,泰勒展开
23H.3,泰勒展开
22J.2,泰勒展开
22H.5,泰勒展开
20J.1,泰勒展开
23J.10,定积分
23J.14,递推数列极限，Stolz(综合题)
22J.11,递推数列极限，凸函数背景(综合题)
21J.4/2,敛迫性
20J.4/1,敛迫性

函数,
23J.3,求渐近线
23H.9,求渐近线，间断点
22H.13,求渐近线
21J.9,闭区间上连续函数
20J.10,零点存在性定理，积分上限函数
20J.11,凸函数背景，一致连续

导数,
23J.2,复合函数导数
23H.4,复合函数导数
23J.4,参数方程求导
23H.5,参数方程求导+凹凸性
22H.6,参数方程求导
21J.8,参数方程求导
20J.8,参数方程求导
23J.7,隐函数求导
23H.2,隐函数求导+切线方程
22H.7,隐函数求导
22J.4,变上限积分+隐函数求导
23J.12,导数与单调性，证明不等式
23H.10,导数与单调性，证明不等式
22J.10,导数与单调性，证明不等式
21J.10,导数与单调性，证明不等式
21J.4/1,导数与单调性，证明不等式
23H.12,导数与单调性，方程的根的个数
22H.1,导数与单调性，方程的根的个数
21J.7,导数与单调性，求极值
20J.7,导数与单调性，求最值
22J.3,分段函数求导(定义法)，单点导数>0性质
22H.12,单点单点导数>0性质
22H.3,高阶导数，莱布尼兹公式


微分,
23J.15,函数微分定积分综合题
23H.14,中值定理(K)
22H.16,中值定理(2020数学一)
20J.12,中值定理(Taylor/辅助多项式)
20H.9,中值定理(辅助函数)
22J.5,求非常见函数泰勒展开式
21J.6,求非常见函数泰勒展开式
22J.9,洛必达法则，导数定义

积分,
23J.5,变上限积分
23J.6,反常积分
22H.4,反常积分
23H.11,反常积分(综合计算)
22J.6,反常积分
21J.1,反常积分
20J.6,反常积分
23J.8,定积分求弧长
23H.1,定积分求弧长
22J.7,定积分求弧长
21J.5,定积分求弧长
20J.5,定积分求弧长
23H.8,定积分计算，对称性
22H.10,定积分计算，对称性，点火
23J.11,有理函数不定积分
23H.6,分部积分法求不定积分
22H.9,分部积分法求不定积分
20J.1,凑微分法求不定积分
23H.7,三角有理函数不定积分
22H.8,三角有理函数不定积分
21J.3,三角有理函数不定积分
23J.13,定积分求面积体积
23H.13,定积分求面积
22H.2,定积分求面积
22H.11,定积分求体积
22H.14,周期函数定积分
20J.9,周期函数定积分平均
22J.11,积分第一中值定理
22J.12,积分第二中值定理
22H.15,积分不等式(Dunkel)
21J.12,积分不等式
20J.4/2,定积分幂平均(数学分析难度?)
